iso3c,country,SP.POP.TOTL,SL.AGR.EMPL.ZS,SL.IND.EMPL.ZS,SL.SRV.EMPL.ZS,asalariados,patrones,tcp,familiares,rel_salariales,rel_no_salariales
LBN,Lebanon,5291579.454545454,15.378090945157128,24.463363647460945,60.15818162397905,63.09372745860706,9.032090750607578,23.94172724810514,3.932454542680219,72.12581820921464,27.874181790785357
LBR,Liberia,3863250.727272727,47.14954514936968,10.841727430170218,42.00863647460936,19.535545349121072,1.8929090824994173,64.24381929094143,14.327726971019388,21.42845443162049,78.57154626196082
LBY,Libya,6153142.545454546,20.158454548228864,25.694363507357508,54.1471817710183,93.06281696666372,1.1499090844934636,5.30963637883013,0.47763635624538736,94.21272605115718,5.7872727350755175
LCA,St. Lucia,172716.27272727274,19.566454627297155,18.635272979736328,61.798454631458625,64.11654489690608,6.48372728174383,28.284182418476448,1.1154545437205954,70.6002721786499,29.399636962197043
LKA,Sri Lanka,20237173,32.59209095348011,25.5475455197421,41.8605447248979,56.389363722367726,2.893181822516702,31.053636442531236,9.663727153431282,59.28254554488443,40.71736359596252
LSO,Lesotho,2008688.1818181819,11.402181885459209,42.273091056130156,46.32454577359287,82.41063620827414,0.43254544789140864,13.365909096869553,3.7909090735695568,82.84318165616556,17.15681817043911
LTU,Lithuania,3099364.909090909,9.93172732266513,26.91527279940519,63.15309143066406,87.17836345325817,2.224545435471969,8.901272762905473,1.6958181749690677,89.40290888873014,10.59709093787454
LUX,Luxembourg,511795.45454545453,1.4678181734952072,14.002545443448136,84.52972758900037,91.70554490522905,2.8547272682189937,5.027818139303815,0.41181817786259955,94.56027217344804,5.439636317166414
LVA,Latvia,2104728.272727273,9.07100014253097,25.190454483032227,65.73845464533025,88.56545396284625,3.738727266138251,6.401181789961737,1.2946363741701301,92.3041812289845,7.695818164131867
MAC,"Macao SAR, China",540505.6363636364,0.398000001907349,16.795999960465874,82.80563562566584,92.15254558216442,3.2972727038643583,3.9439091194759666,0.6062727245417507,95.44981828602877,4.550181844017717
MAR,Morocco,32438963.181818184,40.720090692693525,21.08545442060991,38.19454539905895,45.716272874311976,2.5556363192471583,27.403908989646204,24.324181816794663,48.27190919355913,51.72809080644087
MDA,Moldova,2864081.3636363638,31.01627280495383,18.364545301957573,50.61918189308861,67.88790997591886,0.7440000013871627,28.795817862857483,2.5722726800225004,68.63190997730602,31.368090542879983
MDG,Madagascar,21203962.636363637,73.46236419677736,6.100909059697931,20.436636491255335,11.007999940351999,2.6252727291800766,42.41663622856141,43.95009127530184,13.633272669532076,86.36672750386325
MDV,Maldives,375282.0909090909,12.823909152637844,21.031363573941317,66.14472822709516,69.96099922873758,3.587727286598899,17.440818266435123,9.010454524647095,73.54872651533648,26.451272791082218
MEX,Mexico,114010741.27272727,13.891454436562283,25.12854524092241,60.980000235817634,66.37590928511186,4.618181792172519,22.735182025215856,6.270727244290438,70.99409107728438,29.005909269506294
MKD,North Macedonia,2070532.5454545454,18.67963652177291,30.89445460926401,50.4260007684881,72.19754583185372,5.095363746989858,13.092272715135046,9.614818052812062,77.29290957884358,22.707090767947108
MLI,Mali,15062879,68.20681762695311,8.643000039187344,23.150090997869317,17.886091058904473,0.8733636249195446,51.60109004107389,29.639454581520766,18.759454683824018,81.24054462259465
MLT,Malta,417645.8181818182,1.5238181786103682,24.508909398859192,73.966909235174,86.17181812633167,4.46318179910833,9.317181806164715,0.0478181816976182,90.63499992544,9.364999987862333
MMR,Myanmar,50715597.54545455,53.903909163041554,17.096272555264573,28.9995455308394,32.30154505642978,2.6230000365864137,34.455091671510196,30.62036340886896,34.92454509301619,65.07545508037916
MNE,Montenegro,618700.7272727273,6.85254547812722,18.217636281793762,74.92981928045099,81.35327217795631,7.621727206490258,9.158181916583667,1.8668181787837668,88.97499938444658,11.025000095367433
MNG,Mongolia,2738190,35.332363822243416,17.379636331038053,47.287817868319436,45.13854494961826,1.2365454489534535,45.034364044666276,8.59054555676201,46.375090398571714,53.624909601428286
MOZ,Mozambique,23626296,76.14672712846236,5.513727253133601,18.339636369185026,11.746000029824003,2.79081817106767,57.64427198063244,27.81890903819692,14.536818200891673,85.46318101882936
MRT,Mauritania,3511122.909090909,56.65218145197089,12.065000013871636,31.282727154818456,42.80881777676669,2.6206363981420355,44.33354579318654,10.237000031904742,45.42945417490872,54.57054582509128
MUS,Mauritius,1248573.4545454546,8.43790908293291,29.44972714510832,62.11245450106534,79.9415449662642,3.625636404210871,14.262818108905458,2.170000000433488,83.56718137047507,16.432818109338946
MWI,Malawi,14597213,48.497819033536054,13.991181807084518,37.51081882823596,38.15272660688922,1.1340000087564637,53.904727881604956,6.808545502749361,39.286726615645684,60.713273384354316
MYS,Malaysia,28101593.636363637,13.422818270596581,28.493636564774963,58.08363654396753,74.88799979469994,3.6845454302701093,16.85499988902699,4.572454539212313,78.57254522497004,21.4274544282393
NAM,Namibia,2121162.909090909,28.509090770374645,14.565363623879172,56.9254545731978,64.642181396484375,4.511363679712468,24.356999137184832,6.489454572851006,69.15354507619685,30.84645371003584
NCL,New Caledonia,251195.45454545456,2.588727279142899,21.901090621948253,75.51018246737392,82.61218123002486,5.365727294575083,11.744181864640925,0.27790909057313584,87.97790852459994,12.022090955214061
NER,Niger,16606175.454545455,76.95536318692294,7.5708181641318575,15.4739092913541,8.308999885212291,0.8214545412497088,59.60300127484581,31.266545382413014,9.130454426462,90.86954665725882
NGA,Nigeria,159107546.45454547,41.119817907159984,11.041454488580882,47.83900000832299,18.25381851196289,3.6713636138222436,62.55636349591342,15.51845472509212,21.925182125785135,78.07481822100554
NIC,Nicaragua,5826683.909090909,29.780454462224764,18.68109096180309,51.53845457597211,51.981000033291906,4.640090942382812,32.859272610057495,10.519636414267787,56.62109097567472,43.37890902432528
NLD,Netherlands,16608767.181818182,2.933272730220448,18.212454535744417,78.85418146306819,84.91408954967154,3.9509090510281646,10.580909011038885,0.5540909144011419,88.8649986006997,11.134999925440027
NOR,Norway,4896039.454545454,2.5789091153578325,20.475181579589837,76.94590897993608,92.4875453602184,1.9309090592644418,5.354363717816094,0.22718181935223658,94.41845441948284,5.5815455371683305
NPL,Nepal,26693478.09090909,70.0796363136985,13.281181768937545,16.639181743968617,18.04299961436878,0.9818181774832991,36.322270761836656,44.65290901877663,19.02481779185208,80.97517978061329
NZL,New Zealand,4345000,6.747727264057505,21.07500024275347,72.17709142511544,83.4293642911044,4.8237272175875585,10.754545645280317,0.992363626306707,88.25309150869197,11.746909271587024
OMN,Oman,3202390.909090909,6.374454498291016,30.270545265891318,63.35518160733309,95.61527252197266,1.2732727419246328,2.9565454924648447,0.15490909191695135,96.88854526389729,3.111454584381796
PAK,Pakistan,179577522.8181818,43.027999877929695,21.680909070101663,35.29109087857333,38.19272717562589,1.1778181845491595,35.94100027192722,24.688454367897727,39.37054536017505,60.62945463982495
PAN,Panama,3645091.8181818184,16.339090780778374,18.856363643299463,64.80463756214489,67.05872761119495,3.0547272725538774,25.75172727758233,4.134818185459483,70.11345488374883,29.886545463041813
